title,genres,tags,1_star_votes,2_star_votes,3_star_votes,4_star_votes,5_star_votes,overall_rates
Darkening System Start From Naruto,"['Psychological', 'Supernatural', 'Adventure', 'Action', 'Martial Arts', 'Fantasy']","['Abandoned Children', 'Academy', 'Acting', 'Bloodlines', 'Cunning Protagonist', 'Determined Protagonist', 'Eye Powers', 'Fanfiction', 'Male Protagonist', 'Manipulative Characters', 'Ninjas', 'Parody', 'Spatial Manipulation', 'Transported to Another World', 'Weak to Strong']",15,3,4,2,6,2.4
Pihanjin,"['Fantasy', 'Historical', 'Romance', 'Tragedy']","['Abusive Characters', 'Ancient China', 'Beautiful Female Lead', 'Female Protagonist', 'Past Plays a Big Role', 'Reincarnation', 'Schemes And Conspiracies', 'Tragic Past', 'Unlucky Protagonist']",3,2,0,2,6,3.5
The Villain is Happy Being a Father,"['School Life', 'Drama', 'Adventure', 'Comedy', 'Slice of Life', 'Fantasy']","['Adopted Children', 'Adopted Protagonist', 'Ancient China', 'Caring Protagonist', 'Child Protagonist', 'Childcare', 'Childish Protagonist', 'Clever Protagonist', 'Cute Children', 'Cute Protagonist', 'Cute Story', 'Determined Protagonist', 'Doting Parents', 'Dragons', 'Episodic', 'Familial Love', 'Family', 'Fast Learner', 'Female Protagonist', 'Hard-Working Protagonist', 'Heartwarming', 'Helpful Protagonist', 'Interdimensional Travel', 'Modern Day', 'Sentimental Protagonist', 'Showbiz', 'Single Parent', 'System Administrator', 'Transmigration', 'Wealthy Characters', 'World Hopping', 'World Travel']",8,6,9,9,97,4.4
Within the Web Streaming Business,"['Drama', 'Yaoi', 'Comedy', 'Slice of Life', 'Romance']","['Acting', 'Bickering Couple', 'Handsome Male Lead', 'Modern Day', 'Second Chance', 'Smart Couple']",2,0,2,1,10,4.1
Reign of the Phoenix,['Romance'],"['Ancient Times', 'Arrogant Characters', 'Female Protagonist', 'Imperial Harem', 'Kidnappings', 'Male Yandere', 'Misunderstandings', 'Royalty', 'R*pe', 'S*xual Abuse', 'Stockholm Syndrome']",7,1,3,0,7,2.9
Rebirth: The Journey of a Wife Spoiling Her Husband,"['Mature', 'Drama', 'Historical', 'Josei', 'Martial Arts', 'Fantasy', 'Romance']","['Age Regression', 'Ancient China', 'Androgynous Characters', 'Beautiful Female Lead', 'Betrayal', 'Business Management', 'Cold Protagonist', 'Court Official', 'Devoted Love Interests', 'Doting Love Interests', 'Female Master', 'Female Protagonist', 'Forced into a Relationship', 'Futanari', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Kind Love Interests', 'Love Interest Falls in Love First', 'Matriarchy', 'Misunderstandings', 'Mpreg', 'Past Plays a Big Role', 'Politics', 'Pregnancy', 'Reincarnation', 'Revenge', 'Ruthless Protagonist', 'Second Chance']",18,7,11,14,98,4.1
Runaway Guide,"['School Life', 'Sci-fi', 'Mecha', 'Shounen Ai', 'Romance']","['Age Progression', 'Childhood Friends', 'Clever Protagonist', 'Devoted Love Interests', 'Futuristic Setting', 'Love Interest Falls in Love First', 'Military', 'Mpreg', 'Multiple Reincarnated Individuals', 'Omegaverse', 'Reincarnation', 'Royalty', 'Slow Romance']",20,24,33,46,154,4.0
The Big Landlord,"['Adult', 'Fantasy', 'Mature', 'Romance', 'Smut', 'Yaoi']","['Ancient China', 'Arranged Marriage', 'Black Belly', 'Business Management', 'Calm Protagonist', 'Charismatic Protagonist', 'Clever Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Family Business', 'Family Conflict', 'Fat to Fit', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Leadership', 'Love Interest Falls in Love First', 'Modern Knowledge', 'Power Couple', 'Pragmatic Protagonist', 'Previous Life Talent', 'Proactive Protagonist', 'Royalty', 'Schemes And Conspiracies', 'Smart Couple', 'Strong Love Interests', 'Transmigration', 'Transported to Another World', 'Wealthy Characters']",21,9,22,37,205,4.3
Shuisheng Didi,"['School Life', 'Psychological', 'Mystery', 'Drama', 'Supernatural', 'Shounen Ai', 'Horror']","['College/University', 'Corruption', 'Enemies Become Lovers', 'Ghosts', 'Murders', 'Revenge', 'Roommates', 'Suicides']",2,2,11,14,21,4.0
Unparalleled Emperor,"['Action', 'Adventure', 'Fantasy', 'Xuanhuan']","['Adapted to Manga', 'Body Tempering', 'Cultivation', 'Immortals', 'Male Protagonist']",6,1,2,2,4,2.8
Tattooed Whales,"['School Life', 'Drama', 'Romance']","['Age Progression', 'Love Interest Falls in Love First', 'Misunderstandings', 'Time Skip']",2,0,1,1,0,2.3
Sweet Planting Life of Two Young Masters,"['Slice of Life', 'Yaoi', 'Romance']","['Childhood Friends', 'Cooking', 'Cute Protagonist', 'Doting Love Interests', 'Doting Older Siblings', 'Doting Parents', 'Easy Going Life', 'Familial Love', 'Family', 'Farming', 'Heartwarming', 'Manly Gay Couple', 'Misunderstandings', 'Nobles', 'Poor to Rich', 'Protagonist Falls in Love First']",2,3,2,3,10,3.8
"Female Lead, Please Let Go of the White Moonlight","['School Life', 'Yuri', 'Adventure', 'Comedy', 'Historical', 'Fantasy', 'Romance']","['Ancient China', 'Beautiful Female Lead', 'Doting Love Interests', 'Episodic', 'Female Protagonist', 'Interdimensional Travel', 'Love Interest Falls in Love First', 'Modern Day', 'Multiple Realms', 'Possessive Characters', 'Strong Love Interests', 'System Administrator', 'Transmigration', 'World Hopping', 'Yandere']",3,3,4,4,26,4.2
His Present,"['Drama', 'Tragedy', 'Yaoi']","['Caring Protagonist', 'Cold Love Interests', 'Death', 'Depression', 'Emotionally Weak Protagonist', 'Inferiority Complex', 'Loneliness', 'Love at First Sight', 'Love Triangles', 'Personality Changes', 'Sharing A Body', 'Short Story', 'Souls', 'Suicides', 'Transmigration', 'Unlucky Protagonist', 'Unrequited Love']",0,2,1,0,8,4.3
The Ultimate Student,"['School Life', 'Mystery', 'Harem', 'Drama', 'Action', 'Martial Arts', 'Slice of Life']","['Arrogant Characters', 'Assassins', 'Brotherhood', 'Business Management', 'Calm Protagonist', 'Caring Protagonist', 'Conditional Power', 'Confident Protagonist', 'Crafting', 'Cultivation', 'Cunning Protagonist', 'Devoted Love Interests', 'Doting Love Interests', 'Early Romance', 'Eidetic Memory', 'First-time Interc**rse', 'Genius Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Hiding True Abilities', 'Level System', 'Male Protagonist', 'Medical Knowledge', 'Modern Day', 'Modern Knowledge', 'Nationalism', 'Overpowered Protagonist', 'Perverted Protagonist', 'Politics', 'Polygamy', 'Poor to Rich', 'Racism', 'Romantic Subplot', 'Secret Organizations', 'Seduction', 'Sharp-tongued Characters', 'Strong Love Interests', 'System Administrator', 'Technological Gap', 'Threesome', 'Tragic Past', 'Underestimated Protagonist', 'Weak to Strong']",11,6,6,4,24,3.5
Sissy,"['Adult', 'Drama', 'Mature', 'Romance', 'Yaoi']","['Abusive Characters', 'Adapted to Drama CD', 'Adapted to Manhua', 'Adopted Children', 'Adultery', 'Arrogant Characters', 'Blackmail', 'Bullying', 'Calm Protagonist', 'Childhood Love', 'Cohabitation', 'Confinement', 'Cowardly Protagonist', 'Cruel Characters', 'Different Social Status', 'Family Conflict', 'First Love', 'First-time Interc**rse', 'F*llatio', 'Handsome Male Lead', 'H*ndjob', 'Inferiority Complex', 'Kidnappings', 'Love Triangles', 'Male Yandere', 'Manipulative Characters', 'Modern Day', 'Obsessive Love', 'Persistent Love Interests', 'Playboys', 'Poor Protagonist', 'Possessive Characters', 'Protagonist Falls in Love First', 'R*pe Victim Becomes Lover', 'R*pe', 'Second Chance', 'Wealthy Characters', 'Younger Love Interests']",22,2,8,20,52,3.8
Chaos Of Beauty,"['Harem', 'Drama', 'Gender Bender', 'Historical', 'Josei', 'Tragedy', 'Romance']","['Ancient China', 'Arranged Marriage', 'Beautiful Female Lead', 'Cunning Protagonist', 'Female Protagonist', 'Handsome Male Lead', 'Imperial Harem', 'Misunderstandings', 'Politics', 'Power Couple', 'R*pe', 'Schemes And Conspiracies']",26,10,44,38,102,3.8
Fierce Coffin,['Horror'],"['Adapted to Manhua', 'Cultivation', 'Demons', 'Male Protagonist', 'Past Plays a Big Role', 'Poor to Rich', 'Underestimated Protagonist']",5,0,0,1,2,2.4
The Complete Guide to the Use and Care of a Personal Assistant,"['Comedy', 'Slice of Life', 'Yaoi']","['Apartment Life', 'Bickering Couple', 'Cohabitation', 'Dense Protagonist', 'Modern Day', 'Slow Romance']",20,9,6,6,36,3.4
After My Boyfriend Cheated on Me,"['Josei', 'Mature', 'Romance']","['Affair', 'Beautiful Female Lead', 'Betrayal', 'Bickering Couple', 'Cheats', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Misunderstandings', 'Modern Day', 'Past Plays a Big Role', 'Revenge', 'S*x Friends', 'Short Story', 'Younger Love Interests']",2,2,7,14,39,4.3
I Wasn’t Born Lucky,"['Mature', 'Mystery', 'Supernatural', 'Comedy', 'Shounen Ai', 'Horror']","['Calm Protagonist', 'Clever Protagonist', 'Devoted Love Interests', 'Ghosts', 'Gods', 'Handsome Male Lead', 'Human-Nonhuman Relationship', 'Loner Protagonist', 'Love Interest Falls in Love First', 'Lucky Protagonist', 'Modern Day', 'Multiple Realms', 'Mysterious Past', 'Mystery Solving', 'Obsessive Love', 'Overpowered Protagonist', 'Possessive Characters', 'Slow Romance', 'Strong Love Interests', 'Strong to Stronger', 'Survival Game', 'Unlimited Flow']",19,24,45,57,241,4.2
Venus Development Notes,"['Adult', 'Harem', 'Josei', 'Psychological', 'Romance', 'Smut']","['Beautiful Female Lead', 'Female Protagonist', 'First-time Interc**rse', 'Forced into a Relationship', 'Game Elements', 'Incest', 'Love Interest Falls in Love First', 'Older Love Interests', 'Pregnancy', 'Reverse Harem', 'R*pe', 'Toys', 'Transmigration', 'Weak Protagonist', 'Younger Love Interests']",14,3,10,9,13,3.1
A Speck Amid The Dust of The World,"['Comedy', 'Drama', 'Romance']","['Adapted to Drama', 'Doctors', 'Multiple Protagonists', 'Older Love Interests', 'Shy Characters']",2,2,1,3,5,3.5
Immortal Sword Master,"['Harem', 'Xianxia', 'Adventure', 'Action', 'Martial Arts', 'Fantasy']","['Cultivation', 'Level System', 'Male Protagonist', 'Multiple Realms', 'Romantic Subplot', 'Sword Wielder', 'System Administrator']",3,4,3,3,11,3.6
Plundering the Heavens,"['Harem', 'Xianxia', 'Adventure', 'Comedy', 'Action', 'Martial Arts', 'Fantasy']","['Adapted to Manhua', 'Age Progression', 'Antihero Protagonist', 'Arrogant Characters', 'Beastkin', 'Black Belly', 'Body Tempering', 'Cultivation', 'Cunning Protagonist', 'Dao Comprehension', 'Daoism', 'Demons', 'Handsome Male Lead', 'Hated Protagonist', 'Long Separations', 'Male Protagonist', 'Politics', 'Revenge', 'Romantic Subplot', 'Ruthless Protagonist', 'Schemes And Conspiracies', 'Shameless Protagonist', 'Thieves', 'Underestimated Protagonist', 'Weak to Strong']",51,10,18,40,157,3.9
Coming Twogether As One,"['Adult', 'Romance', 'Smut', 'Yaoi']","['BDSM', 'Love Interest Falls in Love First', 'Modern Day']",9,7,6,14,36,3.8
Heavy Armoured Truck In Post-apocalyptic World,"['Action', 'Sci-fi', 'Supernatural']","['Loner Protagonist', 'Post-apocalyptic', 'Psychic Powers']",15,3,6,3,23,3.3
The Peach Blossoms Begin to Dance,"['Comedy', 'Romance', 'Shoujo']","['Confident Protagonist', 'Devoted Love Interests', 'Female Protagonist', 'Hiding True Identity', 'MMORPG', 'Online Romance', 'Strong Love Interests']",1,1,1,6,9,4.2
A Little Mushroom,"['Shounen Ai', 'Slice of Life']","['Cute Protagonist', 'Cute Story', 'Non-humanoid Protagonist', 'Oneshot']",1,1,4,10,29,4.4
"Quick Transmigration: Adonis, Let’s Talk!","['Slice of Life', 'Drama', 'Shoujo', 'Romance']","['Calm Protagonist', 'Doting Love Interests', 'Female Protagonist', 'System Administrator', 'Transmigration', 'World Hopping']",0,2,4,5,11,4.1
When Xiaoxiang Guys Meet A Jinjiang Girl,"['Comedy', 'Historical', 'Josei', 'Romance', 'Shoujo']","['Ancient Times', 'Beautiful Female Lead', 'Clever Protagonist', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Parody', 'Proactive Protagonist', 'Royalty']",0,2,4,2,27,4.5
The Villainous Wed the Heroine to Me at the Start,"['Action', 'Ecchi', 'Harem', 'Romance']","['Antihero Protagonist', 'Aristocracy', 'Beautiful Female Lead', 'Boss-Subordinate Relationship', 'Forced Marriage', 'Gangs', 'Handsome Male Lead', 'Level System', 'Male Protagonist', 'Marriage of Convenience', 'Polygamy', 'Power Struggle', 'Villainess Noble Girls']",1,1,1,0,4,3.7
The Possibility of Love at First Sight,"['Josei', 'Mature', 'Romance', 'Smut']","['C*nnilingus', 'Female Protagonist', 'First Love', 'First-time Interc**rse', 'Generals', 'Handsome Male Lead', 'Love at First Sight', 'Omegaverse', 'Soldiers']",5,0,3,5,20,4.1
I Have A Super USB Drive,"['Fantasy', 'Horror', 'Sci-fi']","['Aliens', 'Alternate World', 'Artificial Intelligence', 'Fanfiction', 'Male Protagonist', 'Multiple Timelines', 'Psychic Powers', 'Ruthless Protagonist', 'Technological Gap', 'World Travel']",2,9,8,7,17,3.7
Way Back to Our Past,"['Drama', 'Mature', 'Romance']","['Betrayal', 'Female Protagonist', 'Misunderstandings', 'Sibling Rivalry']",5,1,5,3,1,2.6
Opening a Shop in the Nightmare World,"['Shounen Ai', 'Adventure', 'Horror', 'Mystery']","['Business Management', 'Businessmen', 'Butlers', 'Calm Protagonist', 'Clever Protagonist', 'Comedic Undertone', 'Complex Family Relationships', 'Family', 'Family Business', 'First Love', 'Game Elements', 'Genius Protagonist', 'Ghosts', 'Glasses-wearing Protagonist', 'Handsome Male Lead', 'Human-Nonhuman Relationship', 'Limited Lifespan', 'Multiple Realms', 'Mysterious Illness', 'Pragmatic Protagonist', 'Romantic Subplot', 'Store Owner', 'Strong Love Interests', 'Strong to Stronger', 'Survival Game', 'Unlimited Flow']",8,4,19,51,122,4.3
Fatal Counterattack,"['Action', 'Adventure', 'Mystery', 'Psychological']","['Abandoned Children', 'Male Protagonist', 'Modern Day', 'Modern Knowledge', 'Murders', 'Mystery Solving', 'Police']",1,0,0,0,3,4.0
"The Doctress with Healing Hands: Your Highness, Please Behave Yourself","['Historical', 'Josei', 'Romance']","['Ancient China', 'Beautiful Female Lead', 'Clever Protagonist', 'Cooking', 'Doctors', 'Female Protagonist', 'Handsome Male Lead', 'Kingdoms', 'Love Interest Falls in Love First', 'Love Triangles', 'Marriage', 'Military', 'Misunderstandings', 'Nobles', 'Possessive Characters', 'Reincarnation', 'Royalty', 'Schemes And Conspiracies', 'Second Chance', 'Secret Identity', 'Strong Love Interests', 'Tragic Past', 'Transmigration']",14,10,25,30,39,3.6
Crossing to the Wild,"['Yaoi', 'Adventure', 'Slice of Life', 'Fantasy']","['Absent Parents', 'Beasts', 'Calm Protagonist', 'Caring Protagonist', 'Charming Protagonist', 'Clan Building', 'Devoted Love Interests', 'Farming', 'Game Elements', 'Godly Powers', 'Gods', 'Orcs', 'Special Abilities', 'Strong Love Interests', 'Transmigration', 'Transported to Another World', 'Tribal Society', 'World Travel']",3,5,8,4,15,3.7
The Housemaid Wants to be in Higher Position,['Romance'],"['Ancient China', 'Aristocracy', 'Beautiful Female Lead', 'Butlers', 'Character Growth', 'Child Protagonist', 'Clever Protagonist', 'Couple Growth', 'Cute Protagonist', 'Different Social Status', 'Family', 'Female Protagonist', 'Maids', 'Master-Servant Relationship', 'Nobles', 'Poor Protagonist', 'Second Chance', 'S*ave Protagonist', 'S*aves', 'Weak to Strong']",2,2,1,3,15,4.2
One Planet for Everyone! Building Science and Technology Civilization at the Beginning,"['Xuanhuan', 'Sci-fi', 'Adventure', 'Action', 'Martial Arts']","['Alternate World', 'Ancient China', 'Businessmen', 'Calm Protagonist', 'Evolution', 'Fanfiction', 'Game Elements', 'Kingdom Building', 'Male Protagonist', 'Pilots', 'Scientists', 'System Administrator', 'Transmigration', 'Underestimated Protagonist', 'Unique Cultivation Technique', 'Weak to Strong', 'World Travel']",9,4,8,8,41,4.0
How Many Steps Does It Take To Turn an SM R*pe Novella into a Comedy Skit,"['Adult', 'Comedy', 'Drama', 'Smut', 'Yaoi']","['Apathetic Protagonist', 'BDSM', 'Child Abuse', 'Cold Love Interests', 'Flashbacks', 'Handsome Male Lead', 'Short Story', 'Strong Love Interests', 'Tragic Past', 'Transmigration', 'Transported to Another World', 'Weak Protagonist']",6,9,15,29,97,4.3
Feng Yin Tian Xia,"['Mature', 'Drama', 'Adventure', 'Gender Bender', 'Action', 'Historical', 'Martial Arts', 'Romance']","['Ancient China', 'Army', 'Beautiful Female Lead', 'Betrayal', 'Clever Protagonist', 'Cruel Characters', 'Cultivation', 'Determined Protagonist', 'Enemies Become Lovers', 'Female Protagonist', 'Handsome Male Lead', 'Misunderstandings', 'Politics', 'Revenge', 'R*pe', 'Strong Love Interests', 'Wars']",34,18,27,27,115,3.8
Unbridled,"['School Life', 'Drama', 'Yaoi', 'Comedy', 'Slice of Life', 'Romance']","['Adapted to Drama CD', 'College/University', 'Complex Family Relationships', 'Couple Growth', 'Family Conflict', 'First Love', 'Friendship', 'Genius Protagonist', 'Handsome Male Lead', 'Heartwarming', 'Modern Day', 'Multiple POV', 'Multiple Protagonists', 'Roommates', 'Seme Protagonist']",1,3,5,4,55,4.6
Cat’s Rose,"['Sci-fi', 'Slice of Life', 'Mystery', 'Shounen Ai']","['Animal Characteristics', 'Cold Protagonist', 'Cute Protagonist', 'Genetic Modifications', 'Genius Protagonist', 'Handsome Male Lead', 'Human-Nonhuman Relationship', 'Mutated Creatures', 'Mutations', 'Outer Space', 'Scientists', 'Slow Romance', 'Smart Couple']",3,3,2,6,14,3.9
Summoner of Miracles,"['Harem', 'Sci-fi', 'Supernatural', 'Adventure', 'Comedy', 'Action', 'Martial Arts', 'Fantasy']","['Beast Companions', 'Bloodlines', 'Boss-Subordinate Relationship', 'Dense Protagonist', 'Fanfiction', 'Goddesses', 'Gods', 'Heroes', 'Loyal Subordinates', 'Male Protagonist', 'Master-Servant Relationship', 'Multiple Realms', 'Parody', 'Romantic Subplot', 'Special Abilities', 'Summoning Magic', 'Sword And Magic', 'Time Travel', 'Transported to Another World', 'Weak to Strong', 'World Travel']",17,4,8,8,33,3.5
The Yandere Came During the Night,"['Supernatural', 'Comedy', 'Historical', 'Josei', 'Slice of Life', 'Romance']","['Absent Parents', 'Adapted to Manhua', 'Adopted Protagonist', 'Ancient China', 'Beautiful Female Lead', 'Brother Complex', 'Buddhism', 'Caring Protagonist', 'Charming Protagonist', 'Childhood Love', 'Confident Protagonist', 'Cunning Protagonist', 'Devoted Love Interests', 'Disabilities', 'Doting Love Interests', 'Doting Older Siblings', 'Familial Love', 'Female Protagonist', 'Heartwarming', 'Love Interest Falls in Love First', 'Lucky Protagonist', 'Male Yandere', 'Nobles', 'Overprotective Siblings', 'Possessive Characters', 'Power Couple', 'Precognition', 'Reincarnation', 'Schemes And Conspiracies', 'Siblings Not Related by Blood', 'Sister Complex', 'Smart Couple', 'Strong Love Interests', 'Time Skip', 'Transmigration']",19,23,44,120,323,4.3
Mr. Yuan is Always Unhappy,"['Comedy', 'Slice of Life', 'Mature', 'Yaoi']","['Acting', 'Adapted to Drama CD', 'Caring Protagonist', 'Celebrities', 'Clingy Lover', 'Couple Growth', 'Cute Protagonist', 'Devoted Love Interests', 'Early Romance', 'Famous Parents', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Manly Gay Couple', 'Modern Day', 'Naive Protagonist', 'Persistent Love Interests', 'Pragmatic Protagonist', 'Protagonist Falls in Love First', 'Showbiz']",9,5,9,13,55,4.1
The Virtual Character I Personally Raised Wants to Marry Me,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Sci-fi', 'Yaoi']","['Aristocracy', 'Artificial Intelligence', 'Celebrities', 'Confident Protagonist', 'Devoted Love Interests', 'Domestic Affairs', 'Elemental Magic', 'Empires', 'Famous Protagonist', 'Futuristic Setting', 'Game Elements', 'Game Ranking System', 'Gamers', 'Gods', 'Handsome Male Lead', 'Kingdom Building', 'Leadership', 'Level System', 'Love Interest Falls in Love First', 'Loyal Subordinates', 'Magic', 'Male Yandere', 'Misunderstandings', 'Music', 'Nobles', 'Possessive Characters', 'Power Couple', 'Reincarnated in a Game World', 'Royalty', 'Second Chance', 'Singers', 'Transmigration', 'Transported into a Game World', 'Virtual Reality']",11,7,10,17,103,4.3
The World That Tao Rules,"['Action', 'Adventure', 'Fantasy', 'Supernatural', 'Xianxia']","['Adopted Protagonist', 'Cultivation', 'Male Protagonist', 'Weak to Strong']",6,2,5,1,12,3.4
The Epic of Shatter Star,"['Action', 'Fantasy', 'Tragedy', 'Xuanhuan']",['Male Protagonist'],1,0,3,0,4,3.8
Tales of the Reincarnated Lord,"['Action', 'Fantasy', 'Harem', 'Mature', 'Seinen']","['Academy', 'Archery', 'Aristocracy', 'Army Building', 'Arrogant Characters', 'Beasts', 'Betrayal', 'Calm Protagonist', 'Cunning Protagonist', 'Dense Protagonist', 'Depictions of Cruelty', 'Domestic Affairs', 'Farming', 'Firearms', 'Friendship', 'Hard-Working Protagonist', 'Industrialization', 'Kingdom Building', 'Kingdoms', 'Knights', 'Late Romance', 'Leadership', 'Loyal Subordinates', 'Magic Beasts', 'Maids', 'Male Protagonist', 'Management', 'Marriage', 'Mature Protagonist', 'Medieval', 'Mercenaries', 'Military', 'Modern Knowledge', 'Nobles', 'Politics', 'Polygamy', 'Pregnancy', 'Reverse R*pe', 'Romantic Subplot', 'Royalty', 'R*pe', 'Ruthless Protagonist', 'S*aves', 'Slow Growth at Start', 'Slow Romance', 'Strategic Battles', 'Strategist', 'Technological Gap', 'Transmigration', 'Transported to Another World', 'Underestimated Protagonist', 'Wars']",103,69,83,143,518,4.0
Two or Three Things about Mr. and Mr.,"['Shounen Ai', 'Slice of Life']","['Death of Loved Ones', 'Modern Day', 'Oneshot', 'Reporters', 'Scientists']",0,0,1,4,22,4.8
Rebirth of the Little Lucky Star in the ‘80s,"['Fantasy', 'Romance']","['Child Protagonist', 'Doting Parents', 'Female Protagonist', 'Handsome Male Lead', 'Lucky Protagonist', 'Poor to Rich']",2,1,1,1,6,3.7
The Boss of the Milk Tea Shop,"['Slice of Life', 'Romance']","['Modern Day', 'Oneshot', 'Short Story']",0,1,9,6,13,4.1
Dressed as Male Protagonist’s Step Sister,"['School Life', 'Drama', 'Comedy', 'Slice of Life', 'Fantasy', 'Romance']","['Alternate World', 'Caring Protagonist', 'Childhood Friends', 'Clingy Lover', 'College/University', 'Comedic Undertone', 'Cute Story', 'Doting Love Interests', 'Familial Love', 'Family', 'Female Protagonist', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Power Couple', 'R-15', 'Returning from Another World', 'Siblings', 'Siblings Not Related by Blood', 'Transmigration', 'Transported to Another World']",3,0,5,6,22,4.2
Heard I’m a Hero,"['Shounen Ai', 'Adventure', 'Comedy', 'Fantasy']","['Cooking', 'Demon Lord', 'European Ambience', 'Fantasy World', 'Heroes', 'Oneshot']",3,6,23,42,58,4.1
Paradise of Demonic Gods,"['Xuanhuan', 'Adventure', 'Action', 'Tragedy', 'Martial Arts', 'Fantasy']","['Academy', 'Accelerated Growth', 'Apathetic Protagonist', 'Arrogant Characters', 'Betrayal', 'Blind Protagonist', 'Calm Protagonist', 'Cold Protagonist', 'Determined Protagonist', 'Discrimination', 'Enemies Become Allies', 'Evil Gods', 'Famous Protagonist', 'Game Elements', 'Genius Protagonist', 'Handsome Male Lead', 'Hard-Working Protagonist', 'Level System', 'Limited Lifespan', 'Loner Protagonist', 'Male Protagonist', 'Modern Day', 'Monsters', 'Overpowered Protagonist', 'Personality Changes', 'Politics', 'Revenge', 'Ruthless Protagonist', 'Special Abilities', 'Strength-based Social Hierarchy', 'Stubborn Protagonist', 'Sword Wielder', 'Torture', 'Transported to Another World', 'Underestimated Protagonist', 'Wars', 'Weak to Strong']",71,48,55,75,224,3.7
I Am More Paranoid Than The Villainess,"['Mature', 'School Life', 'Yuri', 'Drama', 'Comedy', 'Fantasy']","['Beautiful Female Lead', 'Calm Protagonist', 'Clever Protagonist', 'Cold Protagonist', 'Confident Protagonist', 'Enemies Become Lovers', 'Poor to Rich', 'Protagonist Falls in Love First', 'Transmigration', 'Tsundere', 'Yandere']",3,1,5,4,20,4.1
Hunting for Love for 101 Times,['Romance'],"['Adapted to Drama', 'Adultery', 'Celebrities', 'Clingy Lover', 'Female Protagonist', 'Modern Day', 'Pregnancy', 'Showbiz', 'Singers']",6,1,3,1,4,2.7
The Last Slag,"['School Life', 'Drama', 'Adventure', 'Tragedy', 'Romance']","['Beautiful Female Lead', 'Childhood Friends', 'Female Protagonist', 'System Administrator', 'Transmigration', 'World Hopping']",2,4,4,0,10,3.6
The Blood Crown,"['Action', 'Adult', 'Adventure', 'Drama', 'Historical', 'Romance', 'Yaoi']","['Abusive Characters', 'Adapted to Drama CD', 'Adopted Protagonist', 'Ancient China', 'Aristocracy', 'Clever Protagonist', 'Court Official', 'Mature Protagonist', 'Military', 'Misunderstandings', 'Nobles', 'Politics', 'Power Couple', 'Power Struggle', 'Schemes And Conspiracies', 'S*xual Abuse', 'Smart Couple', 'Younger Love Interests']",5,3,5,3,31,4.1
Chart Topper Queen,"['Mystery', 'Romance', 'Sci-fi']","['Clever Protagonist', 'Female Protagonist', 'Futuristic Setting', 'Manipulative Characters', 'Poor Protagonist', 'Transmigration', 'World Hopping']",1,1,0,2,1,3.2
Losing Money to Be a Tycoon,"['Comedy', 'Slice of Life', 'Supernatural']","['Adapted to Manhua', 'Business Management', 'Businessmen', 'Co-Workers', 'Dense Protagonist', 'Game Elements', 'Gamers', 'Loyal Subordinates', 'Lucky Protagonist', 'Male Protagonist', 'Misunderstandings', 'Modern Day', 'Naive Protagonist', 'Poor to Rich', 'Sudden Wealth', 'System Administrator', 'Teamwork', 'Wealthy Characters']",7,6,9,14,71,4.3
Dark Empress,"['Adult', 'Comedy', 'Fantasy', 'Historical', 'Josei', 'Mature', 'Romance', 'Smut']","['Ancient China', 'Devoted Love Interests', 'Doting Love Interests', 'Female Protagonist', 'Imperial Harem', 'Love Interest Falls in Love First', 'Male Yandere', 'Possessive Characters', 'Pregnancy', 'Royalty', 'Short Story', 'Stubborn Protagonist', 'Transmigration', 'Transported to Another World']",17,12,32,54,124,4.1
The Tyrant’s Beloved Empress,"['Adult', 'Fantasy', 'Historical', 'Romance', 'Yaoi']","['Ancient China', 'Business Management', 'Character Growth', 'Charming Protagonist', 'Clever Protagonist', 'Cold Love Interests', 'Corruption', 'Devoted Love Interests', 'Doting Love Interests', 'Familial Love', 'Family Conflict', 'Handsome Male Lead', 'Love Interest Falls in Love First', 'Loyal Subordinates', 'Marriage', 'Mpreg', 'Royalty', 'Schemes And Conspiracies', 'Second Chance', 'Strong Love Interests']",4,4,16,19,149,4.6
Fake Slackers,"['School Life', 'Yaoi', 'Comedy', 'Slice of Life', 'Romance']","['Adapted to Drama CD', 'Adapted to Manhua', 'Apathetic Protagonist', 'Clever Protagonist', 'Cold Protagonist', 'Coming of Age', 'Complex Family Relationships', 'Confident Protagonist', 'Cute Story', 'Delinquents', 'Devoted Love Interests', 'Doting Love Interests', 'Family', 'Family Conflict', 'First Love', 'First-time Interc**rse', 'Friendship', 'Genius Protagonist', 'Handsome Male Lead', 'Heartwarming', 'Hiding True Abilities', 'Introverted Protagonist', 'Kuudere', 'Love Interest Falls in Love First', 'Modern Day', 'Power Couple', 'Quiet Characters', 'Quirky Characters', 'Sharp-tongued Characters', 'Slow Romance', 'Smart Couple', 'Strong Love Interests', 'Tsundere']",9,12,27,83,350,4.6
